id_ponto_externo,nome_local,tipo,endereco,bairro,subprefeitura,regiao,latitude,longitude,status,horario_funcionamento,descricao,link
EXT-0026,Parque Municipal - Vila Lourdes,CABO,"Avenida Inocêncio Seráfico, 862",Vila Lourdes,Carapicuíba,Carapicuíba,-23.459508,-46.783363,ATIVO,INT 24h,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0027,Parque Municipal - Vila Cristina,CABO,"Rua José Michel, 660",Vila Cristina,Carapicuíba,Carapicuíba,-23.582564,-46.84701,ATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0028,Centro Esportivo - Parque Jandaia,CABO,"Rua Minas Gerais, 326",Parque Jandaia,Carapicuíba,Carapicuíba,-23.471616,-46.824484,MANUTENCAO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0029,Escola Municipal - Vila Lourdes,WIFI,"Rua Dona Primitiva Vianco, 459",Vila Lourdes,Carapicuíba,Carapicuíba,-23.494257,-46.770847,ATIVO,STR 08:00-17:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_029. Usuário: publico. Senha: Carap5785. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.gov.br/
EXT-0030,Escola Municipal - Vila Lourdes,WIFI,"Rua do Bosque, 977",Vila Lourdes,Carapicuíba,Carapicuíba,-23.496902,-46.877724,ATIVO,STR 06:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_030. Usuário: publico. Senha: Carap8656. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.youtube.com/
EXT-0031,Unidade Administrativa - Jardim São Daniel,CABO,"Rua do Bosque, 459",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.553853,-46.864438,ATIVO,INT 24h,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0032,Unidade Administrativa - Vila Municipal,WIFI,"Rua das Palmeiras, 93",Vila Municipal,Carapicuíba,Carapicuíba,-23.545141,-46.778513,INATIVO,INT 07:00-23:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_032. Usuário: publico. Senha: Carap8657. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0033,Ginásio Municipal - Centro,CABO,"Rua das Flores, 38",Centro,Carapicuíba,Carapicuíba,-23.563177,-46.898825,MANUTENCAO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0034,Terminal Rodoviário - Jardim São Daniel,CABO,"Rua das Palmeiras, 499",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.486146,-46.787516,ATIVO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0035,Feira Municipal - Jardim São Daniel,CABO,"Avenida Inocêncio Seráfico, 512",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.53202,-46.782634,ATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0036,Centro Comunitário - Jardim Maria Rita,WIFI,"Avenida Marginal do Ribeirão, 256",Jardim Maria Rita,Carapicuíba,Carapicuíba,-23.538629,-46.886635,ATIVO,INT 24h,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_036. Usuário: publico. Senha: Carap5604. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0037,Unidade de Serviços - Jardim Maria Tereza,WIFI,"Rua das Acácias, 320",Jardim Maria Tereza,Carapicuíba,Carapicuíba,-23.505561,-46.76236,ATIVO,STR 08:00-20:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_037. Usuário: publico. Senha: Carap5415. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0038,Praça Central - Jardim Ana Estela,WIFI,"Avenida Marginal do Ribeirão, 818",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.459824,-46.825774,ATIVO,INT 06:00-22:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_038. Usuário: publico. Senha: Carap6010. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.gov.br/
EXT-0039,Casa da Cultura - Vila Dirce,CABO,"Rua das Acácias, 681",Vila Dirce,Carapicuíba,Carapicuíba,-23.493288,-46.868436,ATIVO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0040,Centro Cultural - Parque Jandaia,CABO,"Rua Antônio Roberto, 420",Parque Jandaia,Carapicuíba,Carapicuíba,-23.440997,-46.848194,MANUTENCAO,STR 08:00-17:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0041,Posto de Atendimento - Centro,CABO,"Rua das Palmeiras, 151",Centro,Carapicuíba,Carapicuíba,-23.495515,-46.904307,ATIVO,STR 08:00-20:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0042,Parque Municipal - Parque Jandaia,WIFI,"Rua das Palmeiras, 197",Parque Jandaia,Carapicuíba,Carapicuíba,-23.45111,-46.76425,INATIVO,INT 07:00-23:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_042. Usuário: publico. Senha: Carap7715. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.gov.br/
EXT-0043,Ginásio Municipal - Parque Gabriel,CABO,"Rua José Michel, 46",Parque Gabriel,Carapicuíba,Carapicuíba,-23.474488,-46.860199,ATIVO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0044,Parque Municipal - Jardim São Daniel,WIFI,"Rua do Bosque, 387",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.535834,-46.871195,MANUTENCAO,STR 06:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_044. Usuário: publico. Senha: Carap2110. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0045,Estação de Atendimento - Jardim Maria Helena,CABO,"Rua José Michel, 867",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.546726,-46.795429,ATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.gov.br/
EXT-0046,Biblioteca Municipal - Jardim Ana Estela,WIFI,"Rua das Flores, 342",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.543838,-46.864856,ATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_046. Usuário: publico. Senha: Carap6946. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.carapicuiba.sp.gov.br/
EXT-0047,Ginásio Municipal - Vila Dirce,CABO,"Avenida Rui Barbosa, 666",Vila Dirce,Carapicuíba,Carapicuíba,-23.542566,-46.893743,ATIVO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0048,CRAS Municipal - Vila Silviania,CABO,"Avenida Marginal do Ribeirão, 546",Vila Silviania,Carapicuíba,Carapicuíba,-23.478071,-46.797326,ATIVO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0049,Parque Municipal - Jardim São Daniel,WIFI,"Rua Bahia, 503",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.458103,-46.794891,ATIVO,INT 07:00-23:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_049. Usuário: publico. Senha: Carap1155. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0050,Posto de Atendimento - Jardim Popular,CABO,"Rua do Bosque, 849",Jardim Popular,Carapicuíba,Carapicuíba,-23.439828,-46.890729,ATIVO,STR 07:00-19:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.gov.br/
EXT-0051,Estação de Atendimento - Parque Gabriel,WIFI,"Rua do Bosque, 520",Parque Gabriel,Carapicuíba,Carapicuíba,-23.54364,-46.804011,ATIVO,INT 06:00-22:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_051. Usuário: publico. Senha: Carap4542. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.carapicuiba.sp.gov.br/
EXT-0052,UBS Municipal - Parque Santa Teresa,CABO,"Rua do Bosque, 142",Parque Santa Teresa,Carapicuíba,Carapicuíba,-23.438059,-46.891744,ATIVO,STR 08:00-17:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0053,Biblioteca Municipal - Parque Jandaia,WIFI,"Rua Rio Grande do Sul, 369",Parque Jandaia,Carapicuíba,Carapicuíba,-23.472463,-46.81446,ATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_053. Usuário: publico. Senha: Carap6115. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0054,Biblioteca Municipal - Parque Gabriel,WIFI,"Rua das Flores, 684",Parque Gabriel,Carapicuíba,Carapicuíba,-23.447655,-46.797391,MANUTENCAO,STR 09:00-21:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_054. Usuário: publico. Senha: Carap1133. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0055,UBS Municipal - Parque Gabriel,WIFI,"Rua Dona Primitiva Vianco, 244",Parque Gabriel,Carapicuíba,Carapicuíba,-23.580445,-46.89752,ATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_055. Usuário: publico. Senha: Carap5006. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0056,Centro de Convivência - Jardim Popular,WIFI,"Rua Minas Gerais, 258",Jardim Popular,Carapicuíba,Carapicuíba,-23.565085,-46.880715,ATIVO,INT 07:00-23:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_056. Usuário: publico. Senha: Carap3950. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0057,Parque Municipal - Parque Santa Teresa,CABO,"Rua das Palmeiras, 696",Parque Santa Teresa,Carapicuíba,Carapicuíba,-23.581293,-46.907006,ATIVO,STR 07:00-19:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.gov.br/
EXT-0058,Espaço Jovem - Jardim Maria Rita,CABO,"Avenida Rui Barbosa, 638",Jardim Maria Rita,Carapicuíba,Carapicuíba,-23.578928,-46.850515,INATIVO,STR 08:00-17:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0059,Praça da Cidadania - Jardim Maria Rita,CABO,"Rua das Flores, 908",Jardim Maria Rita,Carapicuíba,Carapicuíba,-23.53198,-46.856042,MANUTENCAO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0060,Posto de Atendimento - Jardim Maria Rita,CABO,"Rua Minas Gerais, 601",Jardim Maria Rita,Carapicuíba,Carapicuíba,-23.464939,-46.84814,INATIVO,INT 08:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0061,Espaço Jovem - Jardim Santo Estevão,CABO,"Rua São Paulo, 298",Jardim Santo Estevão,Carapicuíba,Carapicuíba,-23.518882,-46.820627,ATIVO,STR 07:00-19:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0062,UBS Municipal - Jardim Popular,WIFI,"Rua Minas Gerais, 882",Jardim Popular,Carapicuíba,Carapicuíba,-23.504834,-46.837494,INATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_062. Usuário: publico. Senha: Carap2285. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0063,Praça da Cidadania - Jardim Maria Tereza,WIFI,"Avenida Marginal do Ribeirão, 935",Jardim Maria Tereza,Carapicuíba,Carapicuíba,-23.48858,-46.819724,ATIVO,INT 06:00-22:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_063. Usuário: publico. Senha: Carap6465. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0064,Espaço Jovem - Jardim Maria Helena,WIFI,"Rua Antônio Roberto, 625",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.496607,-46.872328,ATIVO,INT 08:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_064. Usuário: publico. Senha: Carap9089. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.youtube.com/
EXT-0065,Casa da Cultura - Vila Municipal,WIFI,"Rua Minas Gerais, 385",Vila Municipal,Carapicuíba,Carapicuíba,-23.513189,-46.804985,MANUTENCAO,INT 24h,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_065. Usuário: publico. Senha: Carap8819. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0066,Praça da Cidadania - Jardim São Daniel,CABO,"Rua do Bosque, 507",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.551187,-46.831883,ATIVO,STR 08:00-20:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0067,CRAS Municipal - Vila Dirce,CABO,"Rua das Flores, 960",Vila Dirce,Carapicuíba,Carapicuíba,-23.553004,-46.900128,ATIVO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0068,Terminal Rodoviário - Parque Jandaia,WIFI,"Rua das Acácias, 760",Parque Jandaia,Carapicuíba,Carapicuíba,-23.457931,-46.842083,ATIVO,STR 09:00-21:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_068. Usuário: publico. Senha: Carap1061. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.gov.br/
EXT-0069,Escola Municipal - Jardim Santo Estevão,CABO,"Avenida Marginal do Ribeirão, 660",Jardim Santo Estevão,Carapicuíba,Carapicuíba,-23.564853,-46.787756,INATIVO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0070,Biblioteca Municipal - Centro,CABO,"Rua Bahia, 245",Centro,Carapicuíba,Carapicuíba,-23.466645,-46.90317,ATIVO,STR 07:00-19:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0071,Centro Cultural - Vila Lourdes,CABO,"Rua Minas Gerais, 404",Vila Lourdes,Carapicuíba,Carapicuíba,-23.549965,-46.855733,ATIVO,STR 06:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.google.com/
EXT-0072,Centro Esportivo - Vila Cristina,WIFI,"Rua das Acácias, 849",Vila Cristina,Carapicuíba,Carapicuíba,-23.557778,-46.872443,INATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_072. Usuário: publico. Senha: Carap3132. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.youtube.com/
EXT-0073,Praça da Cidadania - Vila Lourdes,WIFI,"Avenida Rui Barbosa, 346",Vila Lourdes,Carapicuíba,Carapicuíba,-23.469415,-46.828575,ATIVO,INT 08:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_073. Usuário: publico. Senha: Carap6409. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0074,Biblioteca Municipal - Vila Dirce,CABO,"Rua Minas Gerais, 839",Vila Dirce,Carapicuíba,Carapicuíba,-23.554553,-46.897659,INATIVO,INT 24h,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
